glycan,glycan type
N5H3F2S0G0,Fucosylation
N2H7F1S0G0,Fucosylation
N2H8F1S0G0,Fucosylation
N2H9F1S0G0,Fucosylation
N3H4F3S0G0,Fucosylation
N3H5F1S1G0,Fuc-Sia
N3H5F3S0G0,Fucosylation
N4H3F0S2G0,Sialytation
N4H3F1S1G0,Fuc-Sia
N4H4F3S0G0,Fucosylation
N4H5F2S0G0,Fucosylation
N4H6F1S1G0,Fuc-Sia
N4H6F3S0G0,Fucosylation
N5H3F1S1G0,Fuc-Sia
N5H4F0S1G0,Sialytation
N5H6F0S0G0,Others
N6H4F1S0G0,Fucosylation
N7H6F0S0G0,Others
N2H5F1S0G0,Fucosylation
N2H3F1S0G0,Fucosylation
N2H7F0S0G0,High-mannose
N2H8F0S0G0,High-mannose
N2H9F0S0G0,High-mannose
N3H3F3S0G0,Fucosylation
N5H6F2S1G0,Fuc-Sia
N6H4F0S0G0,Others
N2H12F0S0G0,High-mannose
N3H4F0S0G0,Others
N4H5F0S0G0,Others
N4H5F0S1G0,Sialytation
N4H5F0S2G0,Sialytation
N4H5F1S1G0,Fuc-Sia
N4H5F1S2G0,Fuc-Sia
N4H5F2S1G0,Others
N4H5F3S0G0,Others
N4H5F4S0G0,Fucosylation
N4H6F0S2G0,Sialytation
N4H6F1S0G0,Fucosylation
N4H7F0S0G0,Others
N4H7F0S1G0,Sialytation
N4H8F1S0G0,Fucosylation
N5H5F1S1G0,Fuc-Sia
N5H5F3S0G0,Fucosylation
N5H6F4S0G0,Fucosylation
N6H3F1S1G0,Fuc-Sia
N6H4F2S0G0,Fucosylation
N6H5F1S0G0,Fucosylation
N6H6F0S0G0,Others
N6H7F0S0G0,Others
N7H5F0S0G0,Others
N2H10F0S0G0,High-mannose
N2H1F0S0G0,Paucimannose
N2H2F0S0G0,Paucimannose
N2H3F0S0G0,Paucimannose
N2H4F0S0G0,Paucimannose
N2H5F0S0G0,High-mannose
N2H6F0S0G0,High-mannose
N6H3F3S0G0,Fucosylation
N5H5F0S0G0,Others
N7H5F0S2G0,Sialytation
N4H6F2S0G0,Fucosylation
N6H5F0S0G0,Others
N7H3F1S0G0,Fucosylation
N2H11F0S0G0,High-mannose
N3H3F0S0G0,Others
N3H4F2S0G0,Fucosylation
N3H6F1S0G0,Fucosylation
N4H5F5S0G0,Fucosylation
N5H6F0S2G0,Sialytation
N5H6F0S3G0,Sialytation
N5H6F1S2G0,Fuc-Sia
N5H6F1S3G0,Fuc-Sia
N5H6F2S0G0,Fucosylation
N5H6F3S0G0,Fucosylation
N5H6F3S1G0,Fuc-Sia
N5H6F7S0G0,Fucosylation
N5H7F1S1G0,Fuc-Sia
N5H7F1S2G0,Fuc-Sia
N6H3F0S0G0,High-mannose
N7H8F0S0G0,High-mannose
N7H8F0S1G0,Sialytation
N7H8F1S0G0,Fucosylation
N7H9F0S0G0,High-mannose
N8H5F0S0G0,High-mannose
N8H9F3S0G0,Fucosylation
N4H3F0S0G0,Others
N3H5F1S0G0,Fucosylation
N5H6F1S1G0,Fuc-Sia
N3H6F0S1G0,Sialytation
N3H6F2S0G0,Fucosylation
N11H11F0S1G0,Sialytation
N3H6F3S0G0,Fucosylation
N5H6F0S1G0,Sialytation
N6H3F1S0G0,Fucosylation
N3H5F0S1G0,Sialytation
N5H4F2S0G0,Fucosylation
N7H6F1S0G0,Fucosylation
N4H6F0S0G0,Others
N5H6F1S0G0,Fucosylation
N5H3F0S0G0,Others
N6H7F0S1G0,Sialytation
N6H7F1S2G0,Fucosylation
N6H7F2S4G0,Fuc-Sia
N6H7F3S0G0,Fucosylation
N6H7F5S0G0,Fucosylation
N8H9F0S0G0,Others
N3H5F0S0G0,Others
N2H10F1S0G0,Fucosylation
N4H3F3S0G0,Fucosylation
N4H4F0S1G0,Sialytation
N4H4F2S0G0,Fucosylation
N4H5F1S0G0,Fucosylation
N3H6F0S0G0,Others
N4H3F0S1G0,Sialytation
N4H4F1S0G0,Fucosylation
N4H7F1S3G0,Fucosylation
N5H3F1S0G0,Fucosylation
N6H7F0S2G0,Sialytation
N9H7F1S4G0,Fuc-Sia
N4H3F1S0G0,Fucosylation
N3H4F1S0G0,Fucosylation
N6H7F1S3G0,Fuc-Sia
N5H4F1S2G0,Fuc-Sia
N4H4F0S0G0,Others
N5H4F1S0G0,Fucosylation
N5H4F3S0G0,Fucosylation
N3H4F1S1G0,Fuc-Sia
N8H5F1S0G0,Fucosylation
N4H7F1S0G0,Fucosylation
N7H4F0S0G0,Others
N2H2F1S0G0,Fucosylation
N4H7F0S2G0,Sialytation
N2H11F1S0G0,Fucosylation
N2H6F1S0G0,Fucosylation
N6H3F2S1G0,Fuc-Sia
N3H7F1S0G0,Fucosylation
N5H5F1S0G0,Fucosylation
N8H3F0S0G0,Others
N2H4F1S0G0,Fucosylation
N5H4F2S1G0,Fuc-Sia
N5H4F0S0G0,Others
N4H4F2S1G0,Fuc-Sia
N4H6F0S1G0,Sialytation
N4H8F0S0G0,High-mannose
N5H5F0S1G0,Sialytation
N5H5F2S0G0,Fucosylation
N5H5F2S1G0,Fuc-Sia
N6H4F0S1G0,Sialytation
N4H4F0S2G0,Sialytation
N5H5F0S2G0,Sialytation
N6H3F2S0G0,Fucosylation
N9H10F1S0G0,Fucosylation
N5H4F1S1G0,Fuc-Sia
N6H5F1S1G0,Fuc-Sia
N6H7F1S1G0,Fuc-Sia
N7H3F0S0G0,Others
N3H3F2S0G0,Fucosylation
N7H7F1S2G0,Fuc-Sia
N6H5F2S0G0,Fucosylation
N6H6F1S0G0,Fucosylation
N7H4F1S2G0,Fuc-Sia
N6H3F4S2G0,Fuc-Sia
N4H8F1S1G0,Fuc-Sia
N3H4F0S1G0,Sialytation
N3H3F1S0G0,Fucosylation
N8H8F0S2G0,Sialytation
N6H11F1S0G0,Fucosylation
N3H5F2S0G0,Fucosylation
N4H4F1S1G0,Fuc-Sia
N5H4F0S2G0,Sialytation
N8H9F0S1G0,Sialytation
N6H9F0S1G0,Sialytation
N6H4F0S2G0,Sialytation
N6H7F1S0G0,Fucosylation
