sample,group
6LD.CRLM,CRLM
19LE.CRLM,CRLM
59L.LIHC,LIHC
16LC.CRLM,CRLM
66L.LIHC,LIHC
17L.CRLM,CRLM
38L.CRLM,CRLM
57L.LIHC,LIHC
14LB.CRLM,CRLM
7LB.CRLM,CRLM
28CB.CRC,CRC
60L.LIHC,LIHC
27LA.CRLM,CRLM
9LB.CRLM,CRLM
56L.LIHC,LIHC
33L.CRLM,CRLM
11LB.CRLM,CRLM
37L.CRLM,CRLM
8LB.CRLM,CRLM
54L.LIHC,LIHC
43L.CRLM,CRLM
40C.CRC,CRC
41L.CRLM,CRLM
20A.CRLM,CRLM
52L.LIHC,LIHC
26LA.CRLM,CRLM
34C.CRC,CRC
64L.LIHC,LIHC
39L.CRLM,CRLM
37C.CRC,CRC
61L.LIHC,LIHC
12LE.CRLM,CRLM
3L.CRLM,CRLM
44L.CRLM,CRLM
62L.LIHC,LIHC
21A.CRLM,CRLM
49L.LIHC,LIHC
65L.LIHC,LIHC
45L.CRLM,CRLM
46L.CRLM,CRLM
50L.LIHC,LIHC
30LD.CRLM,CRLM
33C.CRC,CRC
10LC.CRLM,CRLM
22D.CRLM,CRLM
48C.CRC,CRC
47C.CRC,CRC
15LA.CRLM,CRLM
35C.CRC,CRC
42C.CRLM,CRLM
53L.LIHC,LIHC
34L.CRLM,CRLM
31C.CRC,CRC
31L.CRLM,CRLM
32L.CRLM,CRLM
23CB.CRC,CRC
26CC.CRC,CRC
25LD.CRLM,CRLM
23C.CRLM,CRLM
30CA.CRC,CRC
35L.CRLM,CRLM
45C.CRC,CRC
51L.LIHC,LIHC
38C.CRC,CRC
29CB.CRLM,CRLM
40L.CRLM,CRLM
36C.CRC,CRC
44C.CRC,CRC
47L.CRLM,CRLM
55L.LIHC,LIHC
36L.CRLM,CRLM
43C.CRC,CRC
